,nearest_public_figure_id,econ,dipl,govt,scty,age,sex,study,work,nearest_result_id,date
0,5.0,-15.0,-10.0,-12.5,38.5,Between 18 and 25,N,Bachelor's Degree,University Student,27.0,2020-09-15
1,2.0,72.5,12.5,32.5,96.0,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-15
2,3.0,40.0,-5.0,-40.0,53.0,Between 46 and 55,F,High School,Entrepreneur,13.0,2020-09-15
3,6.0,55.0,-10.0,-27.5,73.5,Between 26 and 35,F,Bachelor's Degree,Permanent Employee,12.0,2020-09-15
4,5.0,47.5,-10.0,-27.5,26.5,Between 18 and 25,F,High School,Student,13.0,2020-09-15
5,4.0,42.5,22.5,2.5,68.5,Between 18 and 25,M,Middle School,Student,12.0,2020-09-15
6,3.0,40.0,-7.5,-17.5,27.0,Between 26 and 35,M,High School,Fixed Term Employee,13.0,2020-09-15
7,5.0,25.0,-5.0,-22.5,6.5,Between 56 and 65,M,Middle School,Freelance,27.0,2020-09-15
8,2.0,25.0,47.5,77.5,124.5,Between 36 and 45,M,Master's Degree,Permanent Employee,22.0,2020-09-15
9,5.0,2.5,-42.5,-40.0,4.0,Between 26 and 35,M,High School,Permanent Employee,27.0,2020-09-15
10,5.0,47.5,-47.5,-90.0,15.5,Between 36 and 45,M,High School,Freelance,9.0,2020-09-15
11,5.0,40.0,-20.0,-62.5,5.0,Between 26 and 35,M,Master's Degree,Public Employee,16.0,2020-09-15
12,2.0,50.0,20.0,40.0,81.0,Between 26 and 35,F,Master's Degree,Looking for employment,12.0,2020-09-15
13,5.0,45.0,-20.0,-27.5,20.5,Between 18 and 25,M,High School,Entrepreneur,13.0,2020-09-15
14,2.0,57.5,15.0,55.0,92.0,Between 36 and 45,M,Middle School,Permanent Employee,12.0,2020-09-15
15,6.0,57.5,-12.5,-25.0,65.5,Between 26 and 35,F,Master's Degree,Fixed Term Employee,13.0,2020-09-15
16,5.0,12.5,-30.0,-32.5,21.0,Between 26 and 35,N,I'd rather not answer,I'd rather not answer,27.0,2020-09-15
17,5.0,20.0,-25.0,-55.0,-4.0,Between 18 and 25,M,High School,Fixed Term Employee,16.0,2020-09-15
18,5.0,35.0,-17.5,-52.5,45.5,Between 18 and 25,M,High School,Looking for employment,16.0,2020-09-15
19,2.0,32.5,37.5,50.0,83.5,Between 36 and 45,M,First Level Master Degree,I'd rather not answer,21.0,2020-09-15
20,6.0,37.5,-5.0,-10.0,68.5,Between 26 and 35,F,High School,Permanent Employee,12.0,2020-09-15
21,4.0,37.5,15.0,45.0,75.0,Between 18 and 25,F,High School,University Student,19.0,2020-09-15
22,6.0,37.5,10.0,2.5,56.0,Between 26 and 35,M,High School,Permanent Employee,12.0,2020-09-15
23,2.0,52.5,17.5,82.5,91.0,Between 36 and 45,M,Master's Degree,Freelance,21.0,2020-09-15
24,4.0,45.0,20.0,27.5,63.5,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-15
25,4.0,47.5,25.0,15.0,89.5,Between 26 and 35,M,Master's Degree,Permanent Employee,12.0,2020-09-15
26,5.0,-40.0,0.0,40.0,-12.0,Between 18 and 25,M,Bachelor's Degree,Post-Doc,41.0,2020-09-15
27,6.0,17.5,-7.5,-7.5,53.5,Between 18 and 25,N,I'd rather not answer,I'd rather not answer,27.0,2020-09-15
28,5.0,75.0,-40.0,-50.0,32.5,Between 36 and 45,M,High School,Freelance,9.0,2020-09-15
29,6.0,47.5,10.0,0.0,34.0,Between 26 and 35,M,High School,Freelance,12.0,2020-09-15
30,4.0,65.0,10.0,0.0,106.0,Between 26 and 35,M,Master's Degree,Freelance,12.0,2020-09-15
31,3.0,32.5,10.0,-22.5,35.5,Between 36 and 45,F,High School,Permanent Employee,16.0,2020-09-15
32,2.0,57.5,30.0,52.5,87.5,Between 26 and 35,F,High School,Permanent Employee,12.0,2020-09-15
33,2.0,72.5,15.0,50.0,73.5,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-15
34,4.0,50.0,27.5,25.0,64.5,Between 26 and 35,M,Bachelor's Degree,Permanent Employee,12.0,2020-09-15
35,4.0,35.0,17.5,15.0,46.5,Between 18 and 25,M,High School,University Student,19.0,2020-09-15
36,2.0,52.5,17.5,65.0,120.0,Between 26 and 35,F,I'd rather not answer,I'd rather not answer,21.0,2020-09-15
37,4.0,47.5,12.5,20.0,57.5,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-15
38,4.0,77.5,0.0,10.0,76.0,More than 65,F,Master's Degree,Retired,12.0,2020-09-15
39,3.0,42.5,15.0,-30.0,28.0,Between 26 and 35,M,High School,Looking for employment,13.0,2020-09-15
40,6.0,50.0,-7.5,-5.0,50.0,Between 46 and 55,M,Master's Degree,Public Employee,13.0,2020-09-15
41,2.0,37.5,-5.0,60.0,93.5,Between 36 and 45,M,First Level Master Degree,Looking for employment,19.0,2020-09-15
42,2.0,55.0,62.5,80.0,92.0,Between 26 and 35,F,Master's Degree,Fixed Term Employee,14.0,2020-09-15
43,3.0,60.0,0.0,-27.5,36.5,Between 26 and 35,M,High School,Fixed Term Employee,13.0,2020-09-15
44,6.0,22.5,2.5,7.5,41.0,More than 65,M,High School,Retired,28.0,2020-09-15
45,6.0,47.5,12.5,-5.0,61.0,Less than 18,M,Middle School,Student,12.0,2020-09-15
46,2.0,55.0,47.5,87.5,97.0,Between 36 and 45,M,Master's Degree,Public Employee,14.0,2020-09-15
47,4.0,60.0,30.0,12.5,53.0,Between 36 and 45,F,Master's Degree,Public Employee,12.0,2020-09-15
48,2.0,40.0,25.0,67.5,91.5,Between 26 and 35,F,Master's Degree,Post-Doc,21.0,2020-09-15
49,4.0,82.5,5.0,30.0,81.0,Between 46 and 55,M,High School,Public Employee,12.0,2020-09-15
50,4.0,42.5,25.0,20.0,77.5,Between 36 and 45,M,Master's Degree,Freelance,12.0,2020-09-15
51,3.0,45.0,-10.0,-20.0,33.0,Between 26 and 35,F,High School,Permanent Employee,13.0,2020-09-15
52,5.0,45.0,-57.5,-67.5,-6.5,Between 26 and 35,M,Master's Degree,Freelance,10.0,2020-09-15
53,2.0,50.0,17.5,37.5,86.0,Between 26 and 35,F,First Level Master Degree,Fixed Term Employee,12.0,2020-09-15
54,6.0,45.0,-7.5,2.5,34.0,Between 26 and 35,M,High School,Permanent Employee,13.0,2020-09-15
55,5.0,37.5,-20.0,-32.5,34.0,Between 46 and 55,F,High School,I'd rather not answer,16.0,2020-09-15
56,6.0,37.5,-10.0,7.5,45.0,Between 26 and 35,F,PhD,Post-Doc,13.0,2020-09-15
57,4.0,80.0,-10.0,5.0,66.0,Between 56 and 65,M,High School,Public Employee,12.0,2020-09-15
58,4.0,60.0,-7.5,30.0,87.0,Between 36 and 45,M,Bachelor's Degree,Permanent Employee,12.0,2020-09-15
59,3.0,32.5,-15.0,-17.5,26.5,Between 56 and 65,M,High School,Freelance,16.0,2020-09-15
60,3.0,50.0,-10.0,-25.0,35.0,Between 18 and 25,M,High School,Looking for employment,13.0,2020-09-15
61,2.0,47.5,27.5,42.5,93.5,Between 26 and 35,F,High School,Fixed Term Employee,21.0,2020-09-15
62,5.0,30.0,-15.0,-30.0,27.5,Between 36 and 45,M,Master's Degree,Public Employee,16.0,2020-09-15
63,6.0,62.5,35.0,-17.5,30.5,Less than 18,F,High School,Student,12.0,2020-09-15
64,6.0,47.5,-22.5,7.5,23.5,Between 36 and 45,F,Middle School,Freelance,13.0,2020-09-15
65,4.0,55.0,15.0,32.5,79.5,Between 26 and 35,F,High School,I'd rather not answer,12.0,2020-09-15
66,2.0,75.0,52.5,87.5,127.0,Between 26 and 35,N,Master's Degree,Public Employee,2.0,2020-09-15
67,3.0,52.5,0.0,-22.5,32.0,Between 26 and 35,F,Master's Degree,Permanent Employee,13.0,2020-09-15
68,5.0,42.5,-22.5,-45.0,26.0,Between 46 and 55,F,Master's Degree,Freelance,16.0,2020-09-15
69,4.0,47.5,25.0,22.5,61.0,Between 26 and 35,F,Bachelor's Degree,University Student,12.0,2020-09-15
70,5.0,20.0,17.5,-10.0,-5.5,Between 36 and 45,M,Master's Degree,Public Employee,27.0,2020-09-15
71,5.0,-35.0,10.0,45.0,-36.0,Between 36 and 45,M,Master's Degree,Public Employee,41.0,2020-09-15
72,6.0,57.5,15.0,-5.0,44.0,Between 46 and 55,F,High School,I'd rather not answer,12.0,2020-09-15
73,6.0,47.5,5.0,0.0,59.5,Between 18 and 25,M,High School,University Student,12.0,2020-09-15
74,6.0,50.0,2.5,2.5,51.5,Between 26 and 35,F,Bachelor's Degree,Fixed Term Employee,12.0,2020-09-15
75,3.0,30.0,20.0,-10.0,14.0,Between 26 and 35,F,Master's Degree,Looking for employment,27.0,2020-09-15
76,4.0,35.0,5.0,45.0,77.0,Between 26 and 35,M,Master's Degree,Looking for employment,19.0,2020-09-15
77,6.0,47.5,10.0,-15.0,66.5,Between 26 and 35,M,High School,Freelance,12.0,2020-09-15
78,2.0,30.0,52.5,117.5,123.5,Between 36 and 45,M,Master's Degree,Permanent Employee,14.0,2020-09-15
79,3.0,40.0,10.0,-25.0,34.0,Between 46 and 55,F,Master's Degree,I'd rather not answer,13.0,2020-09-15
80,6.0,50.0,-5.0,-40.0,66.5,Between 26 and 35,M,High School,Public Employee,13.0,2020-09-15
81,2.0,57.5,15.0,32.5,92.5,Between 18 and 25,F,Bachelor's Degree,University Student,12.0,2020-09-15
82,5.0,45.0,-15.0,-40.0,4.0,Between 18 and 25,M,High School,Student,16.0,2020-09-15
83,4.0,45.0,22.5,32.5,63.5,Between 26 and 35,M,Vocational qualification,Freelance,19.0,2020-09-15
84,2.0,70.0,5.0,27.5,97.5,Between 18 and 25,F,Bachelor's Degree,University Student,12.0,2020-09-15
85,3.0,47.5,-17.5,-10.0,37.5,Between 26 and 35,M,High School,Entrepreneur,13.0,2020-09-15
86,4.0,70.0,27.5,0.0,74.0,Between 46 and 55,N,I'd rather not answer,I'd rather not answer,12.0,2020-09-15
87,5.0,55.0,-20.0,-70.0,8.0,Between 18 and 25,M,High School,Looking for employment,9.0,2020-09-15
88,4.0,55.0,10.0,10.0,72.5,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-15
89,6.0,47.5,10.0,0.0,47.5,Between 26 and 35,F,Bachelor's Degree,Public Employee,12.0,2020-09-15
90,5.0,35.0,-25.0,-40.0,-12.0,Between 18 and 25,M,Bachelor's Degree,Freelance,16.0,2020-09-15
91,6.0,40.0,-10.0,10.0,44.0,Between 26 and 35,M,First Level Master Degree,Freelance,13.0,2020-09-15
92,4.0,52.5,12.5,25.0,73.0,Between 26 and 35,F,High School,Student,12.0,2020-09-15
93,4.0,27.5,30.0,25.0,51.0,Between 36 and 45,M,High School,Permanent Employee,19.0,2020-09-15
94,2.0,65.0,27.5,50.0,108.5,Between 26 and 35,F,High School,University Student,12.0,2020-09-15
95,5.0,30.0,-27.5,-35.0,12.5,Between 26 and 35,M,Master's Degree,Permanent Employee,16.0,2020-09-15
96,4.0,27.5,7.5,25.0,78.5,Between 26 and 35,F,Bachelor's Degree,University Student,19.0,2020-09-15
97,4.0,20.0,22.5,15.0,66.5,Between 26 and 35,F,First Level Master Degree,Freelance,19.0,2020-09-15
98,6.0,35.0,0.0,20.0,31.0,Between 56 and 65,F,Master's Degree,Public Employee,28.0,2020-09-15
99,3.0,40.0,15.0,5.0,14.0,Between 46 and 55,F,Master's Degree,I'd rather not answer,13.0,2020-09-15
100,3.0,67.5,-10.0,-45.0,38.0,Between 46 and 55,M,High School,Permanent Employee,9.0,2020-09-15
101,5.0,27.5,5.0,-22.5,4.0,Between 56 and 65,M,High School,Freelance,27.0,2020-09-15
102,4.0,67.5,7.5,17.5,57.5,Between 36 and 45,F,First Level Master Degree,Permanent Employee,12.0,2020-09-15
103,5.0,42.5,-15.0,-75.0,13.0,Between 18 and 25,F,Master's Degree,University Student,16.0,2020-09-15
104,2.0,67.5,52.5,37.5,125.0,Between 36 and 45,M,PhD,Freelance,2.0,2020-09-15
105,2.0,55.0,35.0,47.5,86.0,Between 18 and 25,M,Master's Degree,University Student,12.0,2020-09-15
106,4.0,65.0,25.0,20.0,61.0,Between 18 and 25,F,High School,University Student,12.0,2020-09-15
107,2.0,72.5,7.5,25.0,96.0,Between 26 and 35,F,Master's Degree,Public Employee,12.0,2020-09-15
108,5.0,40.0,-22.5,-42.5,16.5,Between 26 and 35,M,Master's Degree,Permanent Employee,16.0,2020-09-15
109,4.0,37.5,15.0,22.5,61.0,Between 26 and 35,M,Master's Degree,Permanent Employee,19.0,2020-09-15
110,5.0,35.0,5.0,-25.0,13.0,Between 56 and 65,M,High School,Retired,16.0,2020-09-15
111,5.0,30.0,15.0,-30.0,22.5,Between 26 and 35,F,Master's Degree,Fixed Term Employee,16.0,2020-09-15
112,6.0,17.5,20.0,7.5,24.5,Less than 18,M,I'd rather not answer,I'd rather not answer,28.0,2020-09-15
113,4.0,27.5,17.5,27.5,82.5,Between 26 and 35,F,Bachelor's Degree,University Student,19.0,2020-09-15
114,5.0,12.5,-22.5,-35.0,18.0,Between 56 and 65,M,Middle School,Permanent Employee,27.0,2020-09-15
115,6.0,-35.0,5.0,85.0,-27.0,Between 26 and 35,M,Vocational qualification,Permanent Employee,47.0,2020-09-15
116,5.0,60.0,5.0,-42.5,-1.0,Between 46 and 55,F,I'd rather not answer,I'd rather not answer,9.0,2020-09-15
117,2.0,50.0,17.5,35.0,121.0,Between 26 and 35,F,First Level Master Degree,Fixed Term Employee,12.0,2020-09-15
118,5.0,37.5,-15.0,-47.5,18.0,Between 36 and 45,F,Vocational qualification,Freelance,16.0,2020-09-15
119,3.0,60.0,-5.0,-22.5,24.0,Between 36 and 45,F,Master's Degree,Permanent Employee,13.0,2020-09-15
120,4.0,22.5,7.5,25.0,43.0,Between 56 and 65,F,Middle School,I'd rather not answer,28.0,2020-09-15
121,6.0,50.0,0.0,-10.0,37.0,Between 26 and 35,M,Bachelor's Degree,Permanent Employee,13.0,2020-09-15
122,6.0,57.5,27.5,-7.5,31.5,Between 56 and 65,F,High School,Public Employee,12.0,2020-09-15
123,2.0,52.5,37.5,60.0,68.5,Between 26 and 35,F,Master's Degree,Looking for employment,21.0,2020-09-15
124,2.0,50.0,22.5,52.5,119.5,Between 26 and 35,M,PhD,Permanent Employee,21.0,2020-09-15
125,6.0,55.0,20.0,-15.0,39.5,Between 26 and 35,F,Bachelor's Degree,I'd rather not answer,12.0,2020-09-15
126,5.0,25.0,-22.5,-17.5,28.0,Between 26 and 35,M,Master's Degree,Entrepreneur,16.0,2020-09-15
127,5.0,-27.5,-42.5,-85.0,-24.5,Between 26 and 35,M,Master's Degree,Freelance,30.0,2020-09-15
128,5.0,-40.0,-62.5,-47.5,-29.5,Between 26 and 35,F,Master's Degree,Public Employee,30.0,2020-09-15
129,3.0,47.5,0.0,-17.5,19.0,Between 26 and 35,F,Master's Degree,Freelance,13.0,2020-09-15
130,6.0,30.0,22.5,-7.5,44.0,Between 56 and 65,F,High School,Public Employee,19.0,2020-09-15
131,5.0,-25.0,-52.5,-60.0,-24.5,Between 26 and 35,M,Master's Degree,Freelance,30.0,2020-09-15
132,2.0,37.5,7.5,45.0,97.0,Between 18 and 25,F,Bachelor's Degree,University Student,19.0,2020-09-15
133,6.0,45.0,15.0,2.5,51.0,Between 26 and 35,M,High School,Entrepreneur,12.0,2020-09-15
134,6.0,67.5,15.0,-20.0,54.0,Between 26 and 35,F,Bachelor's Degree,Fixed Term Employee,12.0,2020-09-15
135,5.0,0.0,0.0,-10.0,0.0,More than 65,M,High School,Retired,27.0,2020-09-15
136,4.0,55.0,20.0,17.5,58.5,Between 36 and 45,F,Master's Degree,Freelance,12.0,2020-09-15
137,3.0,30.0,12.5,-17.5,33.5,Between 36 and 45,F,High School,Freelance,16.0,2020-09-15
138,2.0,75.0,57.5,65.0,118.0,Between 26 and 35,F,Bachelor's Degree,Freelance,2.0,2020-09-15
139,2.0,32.5,22.5,77.5,91.0,Between 36 and 45,F,High School,Freelance,21.0,2020-09-15
140,4.0,57.5,12.5,27.5,59.0,Between 36 and 45,F,Master's Degree,Freelance,12.0,2020-09-15
141,5.0,-5.0,-57.5,-122.5,-42.0,Between 46 and 55,M,I'd rather not answer,I'd rather not answer,37.0,2020-09-15
142,4.0,45.0,5.0,15.0,63.5,Between 26 and 35,F,High School,Fixed Term Employee,12.0,2020-09-15
143,6.0,55.0,-22.5,12.5,50.0,Between 36 and 45,M,PhD,I'd rather not answer,13.0,2020-09-15
144,6.0,32.5,-5.0,15.0,43.5,Between 56 and 65,F,High School,Retired,28.0,2020-09-15
145,5.0,42.5,12.5,-10.0,8.0,More than 65,N,I'd rather not answer,I'd rather not answer,13.0,2020-09-15
146,4.0,62.5,25.0,5.0,77.0,Between 46 and 55,M,High School,Permanent Employee,12.0,2020-09-15
147,2.0,72.5,35.0,45.0,89.5,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-15
148,4.0,45.0,22.5,40.0,63.5,Between 36 and 45,M,Bachelor's Degree,Freelance,19.0,2020-09-15
149,6.0,50.0,2.5,-2.5,45.0,Between 46 and 55,F,Middle School,Freelance,12.0,2020-09-15
150,5.0,2.5,-42.5,-50.0,0.5,Between 26 and 35,M,Master's Degree,Student,37.0,2020-09-15
151,2.0,67.5,45.0,72.5,83.5,Between 46 and 55,M,I'd rather not answer,Entrepreneur,14.0,2020-09-15
152,3.0,55.0,12.5,-35.0,29.0,Between 46 and 55,F,Master's Degree,Public Employee,13.0,2020-09-15
153,3.0,45.0,5.0,-17.5,28.0,Between 36 and 45,F,Vocational qualification,Looking for employment,13.0,2020-09-15
154,6.0,50.0,15.0,0.0,51.0,Between 26 and 35,M,Bachelor's Degree,Entrepreneur,12.0,2020-09-15
155,4.0,75.0,47.5,12.5,78.5,Between 36 and 45,M,High School,Permanent Employee,4.0,2020-09-15
156,2.0,77.5,35.0,77.5,94.5,Between 36 and 45,M,Bachelor's Degree,Freelance,2.0,2020-09-15
157,6.0,42.5,2.5,-2.5,36.5,Between 36 and 45,M,First Level Master Degree,Permanent Employee,13.0,2020-09-15
158,5.0,5.0,5.0,5.0,5.0,Between 26 and 35,F,I'd rather not answer,I'd rather not answer,27.0,2020-09-15
159,5.0,-75.0,-90.0,-120.0,-139.5,Between 36 and 45,M,Bachelor's Degree,Freelance,39.0,2020-09-15
160,4.0,50.0,5.0,15.0,51.0,Between 18 and 25,F,High School,Permanent Employee,12.0,2020-09-15
161,4.0,65.0,20.0,7.5,46.0,Between 36 and 45,M,High School,Freelance,12.0,2020-09-15
162,5.0,57.5,-35.0,-75.0,8.0,Between 46 and 55,F,Middle School,I'd rather not answer,9.0,2020-09-15
163,4.0,50.0,5.0,7.5,68.5,Between 36 and 45,F,Master's Degree,Permanent Employee,12.0,2020-09-15
164,2.0,70.0,52.5,120.0,122.0,Between 26 and 35,F,Master's Degree,Permanent Employee,2.0,2020-09-15
165,2.0,62.5,60.0,117.5,144.5,Between 26 and 35,M,Master's Degree,Public Employee,14.0,2020-09-15
166,5.0,20.0,-37.5,-42.5,7.5,Between 46 and 55,F,Middle School,Freelance,16.0,2020-09-15
167,2.0,65.0,20.0,12.5,116.5,Between 18 and 25,F,High School,University Student,12.0,2020-09-15
168,3.0,42.5,-15.0,-22.5,38.5,Between 18 and 25,M,High School,Freelance,13.0,2020-09-15
169,5.0,50.0,-12.5,-30.0,26.5,Between 26 and 35,F,First Level Master Degree,Permanent Employee,13.0,2020-09-15
170,3.0,57.5,7.5,-30.0,27.5,Between 26 and 35,F,Bachelor's Degree,Permanent Employee,13.0,2020-09-15
171,4.0,42.5,25.0,22.5,71.5,Between 26 and 35,M,High School,Permanent Employee,12.0,2020-09-15
172,6.0,50.0,30.0,2.5,44.0,Between 56 and 65,F,High School,Retired,12.0,2020-09-15
173,5.0,45.0,2.5,-27.5,20.0,Between 26 and 35,M,High School,I'd rather not answer,13.0,2020-09-15
174,5.0,67.5,-5.0,-75.0,3.0,Between 36 and 45,M,Bachelor's Degree,Freelance,9.0,2020-09-15
175,2.0,55.0,27.5,47.5,91.0,Between 46 and 55,M,High School,Entrepreneur,12.0,2020-09-15
176,6.0,35.0,0.0,-2.5,43.0,Between 36 and 45,F,First Level Master Degree,Public Employee,13.0,2020-09-16
177,4.0,7.5,-2.5,30.0,75.0,Between 26 and 35,F,Master's Degree,Freelance,28.0,2020-09-16
178,5.0,15.0,-20.0,2.5,12.0,Between 26 and 35,M,High School,Permanent Employee,27.0,2020-09-16
179,2.0,75.0,65.0,67.5,117.0,Between 26 and 35,M,High School,Fixed Term Employee,2.0,2020-09-16
180,2.0,67.5,27.5,82.5,112.0,Between 18 and 25,M,High School,Looking for employment,2.0,2020-09-16
181,3.0,57.5,-5.0,-35.0,50.5,Between 36 and 45,M,First Level Master Degree,Public Employee,13.0,2020-09-16
182,2.0,70.0,32.5,47.5,86.5,Between 36 and 45,F,PhD,Public Employee,12.0,2020-09-16
183,5.0,-90.0,-90.0,-140.0,-172.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,39.0,2020-09-16
184,4.0,52.5,-17.5,12.5,79.5,Between 36 and 45,M,Bachelor's Degree,Permanent Employee,12.0,2020-09-16
185,5.0,42.5,-15.0,-30.0,32.0,Between 46 and 55,F,High School,I'd rather not answer,13.0,2020-09-16
186,2.0,75.0,35.0,80.0,109.5,Between 36 and 45,M,PhD,Post-Doc,2.0,2020-09-16
