nearest_public_figure_id,econ,dipl,govt,scty,age,sex,study,work,nearest_result_id
5.0,-15.0,-10.0,-12.5,38.5,Between 18 and 25,N,Bachelor's Degree,University Student,27.0
2.0,72.5,12.5,32.5,96.0,Between 36 and 45,M,High School,Permanent Employee,12.0
3.0,40.0,-5.0,-40.0,53.0,Between 46 and 55,F,High School,Entrepreneur,13.0
6.0,55.0,-10.0,-27.5,73.5,Between 26 and 35,F,Bachelor's Degree,Permanent Employee,12.0
5.0,47.5,-10.0,-27.5,26.5,Between 18 and 25,F,High School,Student,13.0
4.0,42.5,22.5,2.5,68.5,Between 18 and 25,M,Middle School,Student,12.0
3.0,40.0,-7.5,-17.5,27.0,Between 26 and 35,M,High School,Fixed Term Employee,13.0
5.0,25.0,-5.0,-22.5,6.5,Between 56 and 65,M,Middle School,Freelance,27.0
2.0,25.0,47.5,77.5,124.5,Between 36 and 45,M,Master's Degree,Permanent Employee,22.0
5.0,2.5,-42.5,-40.0,4.0,Between 26 and 35,M,High School,Permanent Employee,27.0
5.0,47.5,-47.5,-90.0,15.5,Between 36 and 45,M,High School,Freelance,9.0
5.0,40.0,-20.0,-62.5,5.0,Between 26 and 35,M,Master's Degree,Public Employee,16.0
2.0,50.0,20.0,40.0,81.0,Between 26 and 35,F,Master's Degree,Looking for employment,12.0
5.0,45.0,-20.0,-27.5,20.5,Between 18 and 25,M,High School,Entrepreneur,13.0
2.0,57.5,15.0,55.0,92.0,Between 36 and 45,M,Middle School,Permanent Employee,12.0
6.0,57.5,-12.5,-25.0,65.5,Between 26 and 35,F,Master's Degree,Fixed Term Employee,13.0
5.0,12.5,-30.0,-32.5,21.0,Between 26 and 35,N,I'd rather not answer,I'd rather not answer,27.0
5.0,20.0,-25.0,-55.0,-4.0,Between 18 and 25,M,High School,Fixed Term Employee,16.0
5.0,35.0,-17.5,-52.5,45.5,Between 18 and 25,M,High School,Looking for employment,16.0
2.0,32.5,37.5,50.0,83.5,Between 36 and 45,M,First Level Master Degree,I'd rather not answer,21.0
6.0,37.5,-5.0,-10.0,68.5,Between 26 and 35,F,High School,Permanent Employee,12.0
4.0,37.5,15.0,45.0,75.0,Between 18 and 25,F,High School,University Student,19.0
6.0,37.5,10.0,2.5,56.0,Between 26 and 35,M,High School,Permanent Employee,12.0
2.0,52.5,17.5,82.5,91.0,Between 36 and 45,M,Master's Degree,Freelance,21.0
4.0,45.0,20.0,27.5,63.5,Between 36 and 45,M,High School,Permanent Employee,12.0
4.0,47.5,25.0,15.0,89.5,Between 26 and 35,M,Master's Degree,Permanent Employee,12.0
5.0,-40.0,0.0,40.0,-12.0,Between 18 and 25,M,Bachelor's Degree,Post-Doc,41.0
6.0,17.5,-7.5,-7.5,53.5,Between 18 and 25,N,I'd rather not answer,I'd rather not answer,27.0
5.0,75.0,-40.0,-50.0,32.5,Between 36 and 45,M,High School,Freelance,9.0
6.0,47.5,10.0,0.0,34.0,Between 26 and 35,M,High School,Freelance,12.0
4.0,65.0,10.0,0.0,106.0,Between 26 and 35,M,Master's Degree,Freelance,12.0
3.0,32.5,10.0,-22.5,35.5,Between 36 and 45,F,High School,Permanent Employee,16.0
2.0,57.5,30.0,52.5,87.5,Between 26 and 35,F,High School,Permanent Employee,12.0
2.0,72.5,15.0,50.0,73.5,Between 36 and 45,M,High School,Permanent Employee,12.0
4.0,50.0,27.5,25.0,64.5,Between 26 and 35,M,Bachelor's Degree,Permanent Employee,12.0
4.0,35.0,17.5,15.0,46.5,Between 18 and 25,M,High School,University Student,19.0
2.0,52.5,17.5,65.0,120.0,Between 26 and 35,F,I'd rather not answer,I'd rather not answer,21.0
4.0,47.5,12.5,20.0,57.5,Between 36 and 45,M,High School,Permanent Employee,12.0
4.0,77.5,0.0,10.0,76.0,More than 65,F,Master's Degree,Retired,12.0
3.0,42.5,15.0,-30.0,28.0,Between 26 and 35,M,High School,Looking for employment,13.0
6.0,50.0,-7.5,-5.0,50.0,Between 46 and 55,M,Master's Degree,Public Employee,13.0
2.0,37.5,-5.0,60.0,93.5,Between 36 and 45,M,First Level Master Degree,Looking for employment,19.0
2.0,55.0,62.5,80.0,92.0,Between 26 and 35,F,Master's Degree,Fixed Term Employee,14.0
3.0,60.0,0.0,-27.5,36.5,Between 26 and 35,M,High School,Fixed Term Employee,13.0
6.0,22.5,2.5,7.5,41.0,More than 65,M,High School,Retired,28.0
6.0,47.5,12.5,-5.0,61.0,Less than 18,M,Middle School,Student,12.0
2.0,55.0,47.5,87.5,97.0,Between 36 and 45,M,Master's Degree,Public Employee,14.0
4.0,60.0,30.0,12.5,53.0,Between 36 and 45,F,Master's Degree,Public Employee,12.0
2.0,40.0,25.0,67.5,91.5,Between 26 and 35,F,Master's Degree,Post-Doc,21.0
4.0,82.5,5.0,30.0,81.0,Between 46 and 55,M,High School,Public Employee,12.0
4.0,42.5,25.0,20.0,77.5,Between 36 and 45,M,Master's Degree,Freelance,12.0
3.0,45.0,-10.0,-20.0,33.0,Between 26 and 35,F,High School,Permanent Employee,13.0
5.0,45.0,-57.5,-67.5,-6.5,Between 26 and 35,M,Master's Degree,Freelance,10.0
2.0,50.0,17.5,37.5,86.0,Between 26 and 35,F,First Level Master Degree,Fixed Term Employee,12.0
6.0,45.0,-7.5,2.5,34.0,Between 26 and 35,M,High School,Permanent Employee,13.0
5.0,37.5,-20.0,-32.5,34.0,Between 46 and 55,F,High School,I'd rather not answer,16.0
6.0,37.5,-10.0,7.5,45.0,Between 26 and 35,F,PhD,Post-Doc,13.0
4.0,80.0,-10.0,5.0,66.0,Between 56 and 65,M,High School,Public Employee,12.0
4.0,60.0,-7.5,30.0,87.0,Between 36 and 45,M,Bachelor's Degree,Permanent Employee,12.0
3.0,32.5,-15.0,-17.5,26.5,Between 56 and 65,M,High School,Freelance,16.0
3.0,50.0,-10.0,-25.0,35.0,Between 18 and 25,M,High School,Looking for employment,13.0
2.0,47.5,27.5,42.5,93.5,Between 26 and 35,F,High School,Fixed Term Employee,21.0
5.0,30.0,-15.0,-30.0,27.5,Between 36 and 45,M,Master's Degree,Public Employee,16.0
6.0,62.5,35.0,-17.5,30.5,Less than 18,F,High School,Student,12.0
6.0,47.5,-22.5,7.5,23.5,Between 36 and 45,F,Middle School,Freelance,13.0
4.0,55.0,15.0,32.5,79.5,Between 26 and 35,F,High School,I'd rather not answer,12.0
2.0,75.0,52.5,87.5,127.0,Between 26 and 35,N,Master's Degree,Public Employee,2.0
3.0,52.5,0.0,-22.5,32.0,Between 26 and 35,F,Master's Degree,Permanent Employee,13.0
5.0,42.5,-22.5,-45.0,26.0,Between 46 and 55,F,Master's Degree,Freelance,16.0
4.0,47.5,25.0,22.5,61.0,Between 26 and 35,F,Bachelor's Degree,University Student,12.0
5.0,20.0,17.5,-10.0,-5.5,Between 36 and 45,M,Master's Degree,Public Employee,27.0
5.0,-35.0,10.0,45.0,-36.0,Between 36 and 45,M,Master's Degree,Public Employee,41.0
6.0,57.5,15.0,-5.0,44.0,Between 46 and 55,F,High School,I'd rather not answer,12.0
6.0,47.5,5.0,0.0,59.5,Between 18 and 25,M,High School,University Student,12.0
6.0,50.0,2.5,2.5,51.5,Between 26 and 35,F,Bachelor's Degree,Fixed Term Employee,12.0
3.0,30.0,20.0,-10.0,14.0,Between 26 and 35,F,Master's Degree,Looking for employment,27.0
4.0,35.0,5.0,45.0,77.0,Between 26 and 35,M,Master's Degree,Looking for employment,19.0
6.0,47.5,10.0,-15.0,66.5,Between 26 and 35,M,High School,Freelance,12.0
2.0,30.0,52.5,117.5,123.5,Between 36 and 45,M,Master's Degree,Permanent Employee,14.0
3.0,40.0,10.0,-25.0,34.0,Between 46 and 55,F,Master's Degree,I'd rather not answer,13.0
