,nearest_public_figure_id,econ,dipl,govt,scty,age,sex,study,work,nearest_result_id,date
7,5.0,-15.0,-10.0,-12.5,38.5,Between 18 and 25,N,Bachelor's Degree,University Student,27.0,2020-09-15
8,2.0,72.5,12.5,32.5,96.0,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-15
9,3.0,40.0,-5.0,-40.0,53.0,Between 46 and 55,F,High School,Entrepreneur,13.0,2020-09-15
10,6.0,55.0,-10.0,-27.5,73.5,Between 26 and 35,F,Bachelor's Degree,Permanent Employee,12.0,2020-09-15
11,5.0,47.5,-10.0,-27.5,26.5,Between 18 and 25,F,High School,Student,13.0,2020-09-15
12,4.0,42.5,22.5,2.5,68.5,Between 18 and 25,M,Middle School,Student,12.0,2020-09-15
14,3.0,40.0,-7.5,-17.5,27.0,Between 26 and 35,M,High School,Fixed Term Employee,13.0,2020-09-15
15,5.0,25.0,-5.0,-22.5,6.5,Between 56 and 65,M,Middle School,Freelance,27.0,2020-09-15
16,2.0,25.0,47.5,77.5,124.5,Between 36 and 45,M,Master's Degree,Permanent Employee,22.0,2020-09-15
17,5.0,2.5,-42.5,-40.0,4.0,Between 26 and 35,M,High School,Permanent Employee,27.0,2020-09-15
18,5.0,47.5,-47.5,-90.0,15.5,Between 36 and 45,M,High School,Freelance,9.0,2020-09-15
19,5.0,40.0,-20.0,-62.5,5.0,Between 26 and 35,M,Master's Degree,Public Employee,16.0,2020-09-15
20,2.0,50.0,20.0,40.0,81.0,Between 26 and 35,F,Master's Degree,Looking for employment,12.0,2020-09-15
21,5.0,45.0,-20.0,-27.5,20.5,Between 18 and 25,M,High School,Entrepreneur,13.0,2020-09-15
22,2.0,57.5,15.0,55.0,92.0,Between 36 and 45,M,Middle School,Permanent Employee,12.0,2020-09-15
23,6.0,57.5,-12.5,-25.0,65.5,Between 26 and 35,F,Master's Degree,Fixed Term Employee,13.0,2020-09-15
24,5.0,12.5,-30.0,-32.5,21.0,Between 26 and 35,N,I'd rather not answer,I'd rather not answer,27.0,2020-09-15
25,5.0,20.0,-25.0,-55.0,-4.0,Between 18 and 25,M,High School,Fixed Term Employee,16.0,2020-09-15
26,5.0,35.0,-17.5,-52.5,45.5,Between 18 and 25,M,High School,Looking for employment,16.0,2020-09-15
27,2.0,32.5,37.5,50.0,83.5,Between 36 and 45,M,First Level Master Degree,I'd rather not answer,21.0,2020-09-15
28,6.0,37.5,-5.0,-10.0,68.5,Between 26 and 35,F,High School,Permanent Employee,12.0,2020-09-15
29,4.0,37.5,15.0,45.0,75.0,Between 18 and 25,F,High School,University Student,19.0,2020-09-15
